DATA_YEAR,SUSPECTED_DRUG_TYPE_ID,PROPERTY_ID,EST_DRUG_QTY,DRUG_MEASURE_TYPE_ID,NIBRS_SUSPECTED_DRUG_ID
2019,2,123678579,1,9,13643869
2019,16,123687907,1,11,13639038
2019,4,123678870,46.8,1,13643890
2019,18,123688347,,,13639088
2019,4,123688347,9,9,13652857
2019,16,123688347,4,9,13652858
2019,16,123684132,1.5,9,13643896
2019,4,123684132,1,9,13643895
2019,16,123678984,1,11,13643900
2019,4,123688571,1,9,13643903
2019,4,123688629,1,9,13639101
2019,2,123688812,0.17,1,13639120
2019,5,115550076,0.25,3,11241388
2019,1,115560191,1,9,11246382
2019,2,115561238,,,11236486
2019,1,115556518,1,9,11241518
2019,1,115556896,1,9,11246549
2019,1,115550000,1,9,11236356
2019,4,115550000,91,9,11236357
2019,2,115560020,41.16,1,11236359
2019,2,115560160,1,3,11241390
2019,8,115550145,3,9,11241391
2019,4,115560189,,,11236377
2019,1,115560503,1.003,1,11236423
2019,1,115555452,1.4,1,11236428
2019,8,115555452,1,9,11236429
2019,1,115555454,2.7,1,11246442
2019,2,115555454,0.1,1,11246443
2019,4,115555491,5,3,11236437
2019,2,115555663,1,11,11236440
2019,1,115555663,1,11,11236439
2019,16,115550946,4,9,11241490
2019,4,115550946,1,1,11236468
2019,8,115550946,10,9,11241489
2019,5,115561033,5,1,11246475
2019,12,115551598,2,1,11236511
2019,18,115551598,,,11236512
2019,15,115551598,3.6,1,11241526
2019,2,115551679,0.005,1,11236522
